档案店铺ID,平台,档案店铺名称,店铺状态,责任单位,责任人,联系人,涉及品种,历史记录数,历史链接数,历史品牌列表,平台店铺ID,店铺主页链接,第一批选择依据
W00001,天猫,阿里健康大药房,正常,电商部,朱姝,高尚剑,,107,30,优立维、依伦平、天依宁、天舒平、安多林、希佳、托妥、晴瑞欣、欣速安、甘泽、畅凡、葛泰,,,首批入选：历史链接数较多且涉及品种明确，店铺状态正常，已匹配到责任人，历史数据中已识别出稳定商品链接，便于执行Agent抓取与价格比对
W00003,天猫,依伦平旗舰店,正常,电商部,朱姝,高尚剑,,72,20,优立维、依伦平、天依宁、天舒平、安多林、希佳、托妥、晴瑞欣、晴诺舒、欣速安、甘泽、畅凡、葛泰,,,首批入选：历史链接数较多且涉及品种明确，店铺状态正常，已匹配到责任人，历史数据中已识别出稳定商品链接，便于执行Agent抓取与价格比对
W01563,天猫,康药师大药房旗舰店,正常,KA三大区,孙英昌,,依伦平、葛泰、畅凡等,71,17,优立维、依伦平、品多、托妥、欣速安、甘泽、畅凡、葛泰,,,首批入选：历史链接数较多且涉及品种明确，店铺状态正常，已匹配到责任人，历史数据中已识别出稳定商品链接，便于执行Agent抓取与价格比对
W08152,天猫,健康福利社,正常,电商部,朱姝,高尚剑,,68,19,优立维、依伦平、天依宁、天舒平、安多林、希佳、托妥、欣速安、甘泽、畅凡、葛泰,,,首批入选：历史链接数较多且涉及品种明确，店铺状态正常，已匹配到责任人，历史数据中已识别出稳定商品链接，便于执行Agent抓取与价格比对
W04612,天猫,康付甄选大药房旗舰店,正常,电商部,朱姝,高尚剑,,55,15,依伦平、天依宁、希佳、托妥、晴诺舒、欣速安、甘泽、畅凡、葛泰,,,首批入选：历史链接数较多且涉及品种明确，店铺状态正常，已匹配到责任人，历史数据中已识别出稳定商品链接，便于执行Agent抓取与价格比对
W00002,天猫,阿里健康医药旗舰店,正常,电商部,朱姝,高尚剑,,54,15,依伦平、天依宁、天舒平、安多林、希佳、托妥、欣速安、甘泽、葛泰,,,首批入选：历史链接数较多且涉及品种明确，店铺状态正常，已匹配到责任人，历史数据中已识别出稳定商品链接，便于执行Agent抓取与价格比对
W03570,天猫,江苏省医药大药房旗舰店,正常,KA一大区,王世田,项宏标,,53,15,依伦平、天依宁、天舒平、希佳、托妥、晴诺舒、欣速安、甘泽、畅凡、葛泰,,,首批入选：历史链接数较多且涉及品种明确，店铺状态正常，已匹配到责任人，历史数据中已识别出稳定商品链接，便于执行Agent抓取与价格比对
W00263,天猫,安和健大药房旗舰店,正常,商业二大区,孙成,,,47,15,优立维、依伦平、品多、天依宁、天舒平、安多林、希佳、晴瑞欣、晴诺舒、欣速安、甘泽、畅凡、葛泰,,,首批入选：历史链接数较多且涉及品种明确，店铺状态正常，已匹配到责任人，历史数据中已识别出稳定商品链接，便于执行Agent抓取与价格比对
W03554,天猫,奇冠大药房旗舰店,正常,KA一大区,王世田,,,46,14,依伦平、品多、天依宁、天舒平、希佳、托妥、晴瑞欣、欣速安、甘泽、畅凡、葛泰,,,首批入选：历史链接数较多且涉及品种明确，店铺状态正常，已匹配到责任人，历史数据中已识别出稳定商品链接，便于执行Agent抓取与价格比对
W04566,天猫,上元堂大药房旗舰店,正常,KA一大区,王世田,,,45,15,依伦平、品多、天依宁、天舒平、希佳、托妥、晴瑞欣、晴诺舒、欣速安、甘泽、畅凡、葛泰,,,首批入选：历史链接数较多且涉及品种明确，店铺状态正常，已匹配到责任人，历史数据中已识别出稳定商品链接，便于执行Agent抓取与价格比对
