brand,generic_name,spec_key,control_price_value,control_price_basis,control_price_per_min_unit,min_unit,effective_from,effective_to,active,source_file,source_line,business_confirmed,confirmed_by,confirmed_at,approval_reference
晴安欣,马来酸阿伐曲泊帕片,,27.00,per_min_unit,27.00,片,2026-04-01,,True,价格标准表.md,马来酸阿伐曲泊帕片晴安欣 27.00,False,,,
泽万欣,甲磺酸仑伐替尼胶囊,,33.30,per_min_unit,33.30,粒,2026-04-01,,True,价格标准表.md,甲磺酸仑伐替尼胶囊泽万欣 33.30,False,,,
晴普宁,来特莫韦片,,365.00,per_min_unit,365.00,片,2026-04-01,,True,价格标准表.md,来特莫韦片晴普宁 365.00,False,,,
希诺彤,罗沙司他胶囊,20mg,1.65,per_min_unit,1.65,粒,2026-04-01,,True,价格标准表.md,罗沙司他胶囊20mg希诺彤 1.65,False,,,
希诺彤,罗沙司他胶囊,50mg,3.30,per_min_unit,3.30,粒,2026-04-01,,True,价格标准表.md,罗沙司他胶囊50mg希诺彤 3.30,False,,,
翊安,氯苯唑酸葡胺软胶囊,,135.00,per_min_unit,135.00,粒,2026-04-01,,True,价格标准表.md,氯苯唑酸葡胺软胶囊翊安135.00,False,,,
赛维可,培唑帕尼片,,83.20,per_min_unit,83.20,片,2026-04-01,,True,价格标准表.md,培唑帕尼片赛维可 83.20,False,,,
晴万瑞,瑞戈非尼片,,6.51,per_min_unit,6.51,片,2026-04-01,,True,价格标准表.md,瑞戈非尼片晴万瑞6.51,False,,,
抗立平,磷酸特地唑胺片,,106.00,per_min_unit,106.00,片,2026-04-01,,True,价格标准表.md,磷酸特地唑胺片抗立平106.00,False,,,
安多林,阿瑞匹坦胶囊,,147.33,per_min_unit,147.33,粒,2026-04-01,,True,价格标准表.md,阿瑞匹坦胶囊安多林147.33,False,,,
欣速安,托伐普坦片,,30.27,per_min_unit,30.27,片,2026-04-01,,True,价格标准表.md,托伐普坦片欣速安30.27,False,,,
畅凡,芦比前列酮软胶囊,,5.88,per_min_unit,5.88,粒,2026-04-01,,True,价格标准表.md,芦比前列酮软胶囊畅凡5.88,False,,,
品多,西格列汀二甲双胍缓释片,,5.93,per_min_unit,5.93,片,2026-04-01,,True,价格标准表.md,西格列汀二甲双胍缓释片品多5.93,False,,,
晴乐安,马昔腾坦片,,4.00,per_min_unit,4.00,片,2026-04-01,,True,价格标准表.md,马昔腾坦片晴乐安4.00,False,,,
唯捷,枸橼酸托法替布片,,3.72,per_min_unit,3.72,片,2026-04-01,,True,价格标准表.md,枸橼酸托法替布片唯捷3.72,False,,,
晴诺舒,米拉贝隆缓释片,,1.74,per_min_unit,1.74,片,2026-04-01,,True,价格标准表.md,米拉贝隆缓释片晴诺舒1.74,False,,,
迈诺恩,碳酸镧咀嚼片,,2.87,per_min_unit,2.87,片,2026-04-01,,True,价格标准表.md,碳酸镧咀嚼片迈诺恩2.87,False,,,
倍利舒,替格瑞洛片,90mg,1.46,per_min_unit,1.46,片,2026-04-01,,True,价格标准表.md,替格瑞洛片90mg倍利舒1.46,False,,,
依伦平,厄贝沙坦氢氯噻嗪片,,1.02,per_min_unit,1.02,片,2026-04-01,,True,价格标准表.md,厄贝沙坦氢氯噻嗪片依伦平1.02,False,,,
托妥,瑞舒伐他汀钙片,10mg,0.80,per_min_unit,0.80,片,2026-04-01,,True,价格标准表.md,瑞舒伐他汀钙片10mg托妥0.80,False,,,
葛泰,地奥司明片,,1.15,per_min_unit,1.15,片,2026-04-01,,True,价格标准表.md,地奥司明片葛泰1.15,False,,,
优立维,硫酸氢氯吡格雷片,,1.22,per_min_unit,1.22,片,2026-04-01,,True,价格标准表.md,硫酸氢氯吡格雷片优立维1.22,False,,,
天舒平,奥美沙坦酯氨氯地平片,,1.30,per_min_unit,1.30,片,2026-04-01,,True,价格标准表.md,奥美沙坦酯氨氯地平片天舒平1.30,False,,,
天依宁,氨氯地平阿托伐他汀钙片,,3.00,per_min_unit,3.00,片,2026-04-01,,True,价格标准表.md,氨氯地平阿托伐他汀钙片天依宁3.00,False,,,
希佳,奥美沙坦酯片,,1.47,per_min_unit,1.47,片,2026-04-01,,True,价格标准表.md,奥美沙坦酯片希佳1.47,False,,,
甘泽,恩替卡韦胶囊,,1.20,per_min_unit,1.20,粒,2026-04-01,,True,价格标准表.md,恩替卡韦胶囊甘泽1.20,False,,,
泽桂癃爽,泽桂癃爽胶囊,,0.92,per_min_unit,0.92,粒,2026-04-01,,True,价格标准表.md,泽桂癃爽胶囊泽桂癃爽0.92,False,,,
晴瑞欣,利伐沙班片,10mg,2.00,per_min_unit,2.00,片,2026-04-01,,True,价格标准表.md,利伐沙班片10mg晴瑞欣2.00,False,,,
品定,磷酸西格列汀片,100mg,4.00,per_min_unit,4.00,片,2026-04-01,,True,价格标准表.md,磷酸西格列汀片100mg品定4.00,False,,,
晴必舒,归柏化瘀胶囊,,4.08,per_min_unit,4.08,粒,2026-04-01,,True,价格标准表.md,归柏化瘀胶囊晴必舒4.08,False,,,
舒贝尼,胆舒软胶囊,,1.07,per_min_unit,1.07,粒,2026-04-01,,True,价格标准表.md,胆舒软胶囊舒贝尼1.07,False,,,
