brand,generic_name,category,control_rule_count,history_record_count,history_covered,coverage_status,default_control_price_per_min_unit,default_min_unit
优立维,硫酸氢氯吡格雷片,乙类,1,6005,True,historical_covered,1.22,片
依伦平,厄贝沙坦氢氯噻嗪片,乙类,1,28018,True,historical_covered,1.02,片
倍利舒,替格瑞洛片,乙类,1,0,False,search_cold_start,1.46,片
品多,西格列汀二甲双胍缓释片,甲类,1,2273,True,historical_covered,5.93,片
品定,磷酸西格列汀片,乙类,1,0,False,search_cold_start,4.00,片
唯捷,枸橼酸托法替布片,乙类,1,0,False,search_cold_start,3.72,片
天依宁,氨氯地平阿托伐他汀钙片,乙类,1,3541,True,historical_covered,3.00,片
天舒平,奥美沙坦酯氨氯地平片,乙类,1,18772,True,historical_covered,1.30,片
安多林,阿瑞匹坦胶囊,甲类,1,47,True,historical_covered,147.33,粒
希佳,奥美沙坦酯片,乙类,1,13056,True,historical_covered,1.47,片
希诺彤,罗沙司他胶囊,未标注,2,0,False,search_cold_start,3.30,粒
托妥,瑞舒伐他汀钙片,乙类,1,33417,True,historical_covered,0.80,片
抗立平,磷酸特地唑胺片,甲类,1,0,False,search_cold_start,106.00,片
晴万瑞,瑞戈非尼片,甲类,1,0,False,search_cold_start,6.51,片
晴乐安,马昔腾坦片,甲类,1,0,False,search_cold_start,4.00,片
晴安欣,马来酸阿伐曲泊帕片,未标注,1,0,False,search_cold_start,27.00,片
晴必舒,归柏化瘀胶囊,乙类,1,0,False,search_cold_start,4.08,粒
晴普宁,来特莫韦片,未标注,1,0,False,search_cold_start,365.00,片
晴瑞欣,利伐沙班片,乙类,1,10145,True,historical_covered,2.00,片
晴诺舒,米拉贝隆缓释片,乙类,1,1709,True,historical_covered,1.74,片
欣速安,托伐普坦片,甲类,1,15663,True,historical_covered,30.27,片
泽万欣,甲磺酸仑伐替尼胶囊,未标注,1,0,False,search_cold_start,33.30,粒
泽桂癃爽,泽桂癃爽胶囊,乙类,1,0,False,search_cold_start,0.92,粒
甘泽,恩替卡韦胶囊,乙类,1,11507,True,historical_covered,1.20,粒
畅凡,芦比前列酮软胶囊,甲类,1,7178,True,historical_covered,5.88,粒
翊安,氯苯唑酸葡胺软胶囊,甲类,1,0,False,search_cold_start,135.00,粒
舒贝尼,胆舒软胶囊,乙类,1,0,False,search_cold_start,1.07,粒
葛泰,地奥司明片,乙类,1,35288,True,historical_covered,1.15,片
赛维可,培唑帕尼片,甲类,1,0,False,search_cold_start,83.20,片
迈诺恩,碳酸镧咀嚼片,乙类,1,0,False,search_cold_start,2.87,片
