package_id,brand,generic_name,spec_normalized,spec_raw_examples,units_per_box,min_unit,source_count,verified
优立维|75mg*36片,优立维,硫酸氢氯吡格雷片,75mg*36片,75mg*36片；优立维36,36,片,3505,historical_observation
优立维|75mg*48片,优立维,硫酸氢氯吡格雷片,75mg*48片,75mg*48片；优立维48,48,片,2472,historical_observation
依伦平|0.15g:12.5mg*14片,依伦平,厄贝沙坦氢氯噻嗪片,0.15g:12.5mg*14片,0.15g:12.5mg*14片；依伦平14,14,片,651,historical_observation
依伦平|0.15g:12.5mg*28片,依伦平,厄贝沙坦氢氯噻嗪片,0.15g:12.5mg*28片,0.15g:12.5mg*28片；依伦平28,28,片,27116,historical_observation
依伦平|150mg:12.5mg*14片,依伦平,厄贝沙坦氢氯噻嗪片,150mg:12.5mg*14片,150mg:12.5mg*14片,14,片,28,historical_observation
品多|0.1g:1g*16片,品多,西格列汀二甲双胍缓释片,0.1g:1g*16片,品多16,16,片,2053,historical_observation
品多|100mg:1000mg*16片,品多,西格列汀二甲双胍缓释片,100mg:1000mg*16片,100mg:1000mg*16片,16,片,206,historical_observation
天依宁|10mg*7片,天依宁,氨氯地平阿托伐他汀钙片,10mg*7片,天依宁7,7,片,1729,historical_observation
天依宁|5mg:10mg*14片,天依宁,氨氯地平阿托伐他汀钙片,5mg:10mg*14片,5mg:10mg*14片；天依宁14,14,片,1701,historical_observation
天依宁|5mg:10mg*7片,天依宁,氨氯地平阿托伐他汀钙片,5mg:10mg*7片,5mg:10mg*7片,7,片,102,historical_observation
天舒平|20mg*7片,天舒平,奥美沙坦酯氨氯地平片,20mg*7片,20mg*7片,7,片,22,historical_observation
天舒平|20mg:5mg*14片,天舒平,奥美沙坦酯氨氯地平片,20mg:5mg*14片,20mg:5mg*14片；天舒平14,14,片,3278,historical_observation
天舒平|20mg:5mg*7片,天舒平,奥美沙坦酯氨氯地平片,20mg:5mg*7片,20mg:5mg*7片；天舒平7,7,片,15459,historical_observation
安多林|80mg*2粒+125mg*1粒,安多林,阿瑞匹坦胶囊,80mg*2粒+125mg*1粒,80mg*2粒+125mg*1粒,3,粒,47,historical_observation
希佳|20mg*14片,希佳,奥美沙坦酯片,20mg*14片,20mg*14片；希佳14,14,片,3088,historical_observation
希佳|20mg*7片,希佳,奥美沙坦酯片,20mg*7片,20mg*7片；希佳7,7,片,9879,historical_observation
托妥|10mg*14片,托妥,瑞舒伐他汀钙片,10mg*14片,10mg*14片；新托妥14,14,片,1281,historical_observation
托妥|10mg*28片,托妥,瑞舒伐他汀钙片,10mg*28片,10mg*28片；新托妥28,28,片,31850,historical_observation
晴瑞欣|10mg*7片,晴瑞欣,利伐沙班片,10mg*7片,10mg*7片；晴瑞欣7,7,片,10124,historical_observation
晴诺舒|50mg*20片,晴诺舒,米拉贝隆缓释片,50mg*20片,50mg*20片；晴诺舒20,20,片,1680,historical_observation
欣速安|15mg*7片,欣速安,托伐普坦片,15mg*7片,15mg*7片；欣速安7,7,片,15620,historical_observation
甘泽|0.5mg*12粒,甘泽,恩替卡韦胶囊,0.5mg*12粒,0.5mg*12粒；甘泽12,12,粒,334,historical_observation
甘泽|0.5mg*24粒,甘泽,恩替卡韦胶囊,0.5mg*24粒,0.5mg*24粒；甘泽24,24,粒,10803,historical_observation
甘泽|0.5mg*48粒,甘泽,恩替卡韦胶囊,0.5mg*48粒,0.5mg*48粒；甘泽48,48,粒,278,historical_observation
畅凡|24μg*10粒,畅凡,芦比前列酮软胶囊,24μg*10粒,24μg*10粒；畅凡10,10,粒,6854,historical_observation
畅凡|24μg*14粒,畅凡,芦比前列酮软胶囊,24μg*14粒,24μg*14粒,14,粒,9,historical_observation
畅凡|24μg*16粒,畅凡,芦比前列酮软胶囊,24μg*16粒,24μg*16粒；畅凡16,16,粒,62,historical_observation
畅凡|24μg*28粒,畅凡,芦比前列酮软胶囊,24μg*28粒,24μg*28粒；畅凡28,28,粒,244,historical_observation
葛泰|0.45g*20片,葛泰,地奥司明片,0.45g*20片,0.45g*20片；葛泰20,20,片,13701,historical_observation
葛泰|0.45g*24片,葛泰,地奥司明片,0.45g*24片,0.45g*24片；葛泰24,24,片,21353,historical_observation
